iter	Passed	Remaining
477	605	661
478	606	659
479	606	657
480	607	655
481	608	654
482	609	652
483	610	650
484	611	648
485	611	647
486	612	645
487	613	643
488	614	642
489	615	640
490	616	638
491	617	637
492	617	635
493	618	633
494	619	632
495	620	630
496	621	628
497	622	627
498	623	625
499	623	623
500	624	622
501	625	620
502	626	618
503	627	617
504	627	615
505	628	613
506	629	612
507	630	610
508	631	608
509	632	607
510	633	605
511	634	604
512	634	602
513	635	601
514	636	599
515	637	597
516	638	596
517	639	594
518	640	593
519	640	591
520	641	589
521	642	588
522	643	586
523	644	585
524	645	583
525	645	582
526	647	581
527	648	579
528	649	578
529	650	576
530	651	575
531	652	573
532	653	572
533	654	570
534	654	569
535	655	567
536	656	566
537	657	564
538	658	562
539	658	561
540	659	559
541	660	558
542	661	556
543	662	555
544	663	553
545	664	552
546	664	550
547	665	549
548	666	547
549	667	546
550	668	544
551	669	543
552	670	541
553	670	540
554	671	538
555	672	537
556	673	535
557	674	534
558	675	532
559	675	531
560	676	529
561	677	528
562	678	526
563	679	525
564	679	523
565	680	522
566	681	520
567	682	519
568	683	517
569	684	516
570	685	514
571	685	513
572	686	511
573	687	510
574	688	508
575	689	507
576	690	505
577	690	504
578	691	502
579	692	501
580	693	500
581	694	498
582	695	497
583	695	495
584	696	494
585	697	492
586	698	491
587	699	489
588	700	488
589	700	487
590	701	485
591	702	484
592	703	482
593	704	481
594	705	479
595	705	478
596	706	477
597	707	475
598	708	474
599	709	472
600	710	471
601	710	469
602	711	468
603	712	467
604	713	465
605	714	464
606	715	462
607	715	461
608	716	460
609	717	458
610	718	457
611	719	456
612	720	454
613	720	453
614	721	451
615	722	450
616	723	449
617	724	447
618	725	446
619	725	444
620	726	443
621	727	442
622	728	440
623	729	439
624	730	438
625	731	436
626	731	435
627	732	433
628	733	432
629	734	431
630	735	429
631	735	428
632	736	427
633	737	425
634	738	424
635	739	423
636	740	421
637	741	420
638	741	419
639	742	417
640	743	416
641	744	415
642	745	413
643	746	412
644	746	411
645	747	409
646	748	408
647	749	407
648	750	405
649	751	404
650	752	403
651	752	401
652	753	400
653	754	399
654	755	397
655	756	396
656	757	395
657	758	393
658	758	392
659	759	391
660	760	390
661	761	388
662	765	389
663	771	390
664	775	390
665	780	391
666	784	391
667	787	391
668	790	391
669	793	390
670	795	389
671	797	389
672	799	388
673	800	387
674	802	386
675	804	385
676	805	384
677	807	383
678	808	382
679	809	380
680	810	379
681	812	378
682	813	377
683	814	376
684	815	374
685	816	373
686	817	372
687	818	371
688	819	369
689	820	368
690	821	367
691	822	365
692	823	364
693	824	363
694	824	361
695	825	360
696	826	359
697	827	357
698	828	356
699	828	355
700	829	353
701	830	352
702	831	351
703	832	349
704	833	348
705	833	347
706	834	345
707	835	344
708	836	343
709	837	341
710	837	340
711	838	339
712	839	337
713	840	336
714	841	335
715	842	334
716	843	332
717	843	331
718	844	330
719	845	328
720	846	327
721	847	326
722	848	324
723	848	323
724	849	322
725	850	321
726	851	319
727	852	318
728	853	317
729	854	315
730	855	314
731	855	313
732	856	312
733	857	310
734	858	309
735	859	308
736	860	306
737	861	305
738	861	304
739	862	303
740	863	301
741	864	300
742	865	299
743	866	298
744	867	296
745	867	295
746	868	294
747	869	292
748	870	291
749	871	290
750	872	289
751	872	287
752	873	286
753	874	285
754	875	284
755	876	282
756	877	281
757	878	280
758	878	279
759	879	277
760	880	276
761	881	275
762	882	274
763	883	272
764	883	271
765	884	270
766	885	269
767	886	267
768	887	266
769	888	265
770	888	264
771	889	262
772	890	261
773	891	260
774	892	259
775	893	257
776	894	256
777	895	255
778	896	254
779	896	252
780	897	251
781	898	250
782	899	249
783	900	248
784	901	246
785	901	245
786	902	244
787	903	243
788	904	241
789	905	240
790	906	239
791	907	238
792	907	236
793	908	235
794	909	234
795	910	233
796	911	232
797	912	230
798	912	229
799	913	228
800	914	227
801	915	226
802	916	224
803	917	223
804	918	222
805	918	221
806	919	219
807	920	218
808	921	217
809	922	216
810	923	215
811	923	213
812	924	212
813	925	211
814	926	210
815	927	209
816	928	207
817	928	206
818	929	205
819	930	204
820	931	203
821	932	201
822	932	200
823	933	199
824	934	198
825	935	197
826	936	195
827	937	194
828	937	193
829	938	192
830	939	191
831	940	189
832	941	188
833	942	187
834	943	186
835	943	185
836	944	183
837	945	182
838	946	181
839	947	180
840	947	179
841	948	178
842	949	176
843	950	175
844	951	174
845	952	173
846	953	172
847	953	170
848	954	169
849	955	168
850	956	167
851	957	166
852	958	165
853	958	163
854	959	162
855	960	161
856	961	160
857	962	159
858	963	158
859	963	156
860	964	155
861	965	154
862	966	153
863	967	152
864	968	151
865	969	150
866	970	148
867	971	147
868	972	146
869	973	145
870	973	144
871	974	143
872	975	141
873	976	140
874	977	139
875	978	138
876	978	137
877	979	136
878	980	134
879	981	133
880	982	132
881	983	131
882	983	130
883	984	129
884	985	128
885	986	126
886	987	125
887	988	124
888	988	123
889	989	122
890	990	121
891	991	120
892	992	118
893	993	117
894	994	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	102
907	1005	101
908	1006	100
909	1006	99
910	1007	98
911	1008	97
912	1009	96
913	1010	95
914	1011	93
915	1012	92
916	1013	91
917	1013	90
918	1014	89
919	1015	88
920	1016	87
921	1017	86
922	1017	84
923	1018	83
924	1019	82
925	1020	81
926	1021	80
927	1022	79
928	1023	78
929	1023	77
930	1024	75
931	1025	74
932	1026	73
933	1027	72
934	1028	71
935	1029	70
936	1029	69
937	1030	68
938	1031	67
939	1032	65
940	1033	64
941	1034	63
942	1034	62
943	1035	61
944	1036	60
945	1037	59
946	1038	58
947	1038	56
948	1039	55
949	1040	54
950	1041	53
951	1042	52
952	1043	51
953	1043	50
954	1044	49
955	1045	48
956	1046	47
957	1047	45
958	1048	44
959	1049	43
960	1049	42
961	1050	41
962	1051	40
963	1052	39
964	1053	38
965	1054	37
966	1054	35
967	1055	34
968	1056	33
969	1057	32
970	1058	31
971	1058	30
972	1059	29
973	1060	28
974	1061	27
975	1062	26
976	1063	25
977	1064	23
978	1064	22
979	1065	21
980	1066	20
981	1067	19
982	1068	18
983	1069	17
984	1070	16
985	1070	15
986	1071	14
987	1072	13
988	1073	11
989	1074	10
990	1075	9
991	1075	8
992	1076	7
993	1077	6
994	1078	5
995	1079	4
996	1079	3
997	1080	2
998	1081	1
999	1082	0
