iter	Passed	Remaining
473	659	731
474	660	729
475	661	727
476	662	726
477	663	724
478	663	722
479	664	720
480	665	718
481	666	716
482	667	714
483	669	713
484	670	712
485	671	710
486	672	708
487	673	706
488	674	704
489	675	703
490	676	701
491	677	699
492	678	697
493	679	695
494	680	693
495	680	691
496	681	690
497	683	688
498	684	686
499	685	685
500	686	683
501	687	681
502	688	679
503	689	678
504	689	676
505	690	674
506	691	672
507	692	670
508	693	668
509	694	667
510	695	665
511	695	663
512	697	661
513	698	660
514	700	659
515	701	657
516	702	656
517	703	654
518	704	652
519	705	651
520	706	649
521	707	647
522	708	646
523	709	644
524	710	643
525	711	641
526	713	640
527	714	638
528	715	637
529	716	635
530	717	633
531	718	632
532	719	630
533	720	628
534	721	627
535	722	625
536	723	623
537	724	622
538	725	620
539	726	618
540	728	617
541	729	616
542	730	614
543	731	612
544	732	611
545	733	609
546	734	608
547	735	606
548	736	604
549	736	602
550	737	601
551	738	599
552	739	597
553	740	596
554	741	594
555	742	593
556	743	591
557	744	589
558	745	588
559	746	586
560	747	584
561	748	583
562	749	581
563	750	579
564	751	578
565	752	576
566	752	575
567	753	573
568	754	571
569	755	570
570	756	568
571	758	567
572	759	566
573	760	564
574	762	563
575	763	561
576	764	560
577	765	558
578	766	557
579	771	558
580	772	557
581	774	556
582	775	554
583	776	552
584	777	551
585	778	549
586	779	548
587	780	546
588	780	544
589	781	543
590	782	541
591	783	540
592	784	538
593	785	536
594	786	535
595	787	533
596	788	532
597	789	530
598	790	529
599	791	527
600	792	526
601	793	524
602	794	523
603	795	521
604	796	520
605	797	518
606	798	516
607	799	515
608	800	513
609	801	512
610	801	510
611	802	509
612	804	507
613	805	506
614	806	504
615	807	503
616	808	501
617	809	500
618	810	498
619	811	497
620	812	495
621	813	494
622	814	492
623	815	491
624	816	489
625	817	488
626	818	486
627	819	485
628	820	483
629	821	482
630	822	480
631	823	479
632	824	477
633	825	476
634	826	474
635	827	473
636	828	472
637	829	470
638	830	469
639	831	467
640	832	466
641	833	464
642	834	463
643	835	462
644	836	460
645	837	459
646	838	457
647	839	456
648	840	454
649	841	453
650	842	451
651	843	450
652	844	448
653	845	447
654	845	445
655	846	444
656	847	442
657	849	441
658	850	439
659	851	438
660	852	437
661	853	435
662	854	434
663	855	433
664	856	431
665	857	430
666	858	428
667	859	427
668	860	425
669	861	424
670	862	422
671	863	421
672	864	420
673	865	418
674	866	417
675	867	415
676	868	414
677	869	412
678	870	411
679	871	409
680	871	408
681	872	406
682	873	405
683	874	404
684	875	402
685	876	401
686	877	399
687	878	398
688	879	397
689	880	395
690	882	394
691	883	393
692	884	391
693	885	390
694	886	388
695	886	387
696	887	385
697	888	384
698	889	383
699	890	381
700	891	380
701	892	378
702	893	377
703	895	376
704	896	375
705	897	373
706	898	372
707	899	370
708	900	369
709	901	368
710	902	366
711	903	365
712	904	364
713	905	362
714	906	361
715	907	359
716	908	358
717	909	357
718	910	355
719	911	354
720	912	353
721	913	351
722	914	350
723	915	348
724	916	347
725	916	346
726	917	344
727	918	343
728	919	341
729	920	340
730	921	339
731	923	338
732	924	336
733	925	335
734	926	334
735	927	332
736	928	331
737	929	329
738	930	328
739	931	327
740	931	325
741	932	324
742	933	322
743	934	321
744	935	320
745	936	319
746	938	317
747	939	316
748	940	315
749	942	314
750	943	312
751	944	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	951	303
758	952	302
759	953	301
760	954	299
761	955	298
762	956	297
763	957	295
764	958	294
765	959	293
766	960	291
767	961	290
768	961	288
769	962	287
770	963	286
771	964	284
772	965	283
773	967	282
774	968	281
775	969	279
776	970	278
777	971	277
778	972	275
779	973	274
780	973	273
781	974	271
782	975	270
783	976	269
784	977	267
785	978	266
786	979	265
787	980	263
788	981	262
789	982	261
790	983	259
791	984	258
792	985	257
793	986	256
794	987	254
795	988	253
796	990	252
797	991	250
798	992	249
799	993	248
800	994	247
801	995	245
802	996	244
803	998	243
804	999	242
805	1000	240
806	1001	239
807	1002	238
808	1003	236
809	1004	235
810	1004	234
811	1005	232
812	1006	231
813	1007	230
